Nama,Rating,Ulasan,Jenis,Alamat,Kota,Full Address,Latitude,Longitude
Balong,,,"Bantul Regency, Special Region of Yogyakarta",,Bantul,"Balong Bantul Regency, Special Region of Yogyakarta Bantul ",-7.8434924,110.4103899
Waroeng Omah Sawah,4.5,1505, Buffet,"Bantul Regency, Special Region of Yogyakarta",Bantul,Waroeng Omah Sawah  Buffet Bantul ,-7.8713872,110.3459223
Taman Imogiri,,,Park,"39JJ+2GM, Jl. Imogiri Tim.",Bantul,Taman Imogiri Park Bantul ,-7.9192388,110.3817985
Jelajah Jogja,4.1,19,Tour agency,"Grujugan Rt. 06, Kel. Bantul, Kec. Bantul",Bantul,Jelajah Jogja Tour agency Bantul ,-7.8673348,110.3282792
Desa Wisata Sambi,5,3,Tourist attraction,"Sleman Regency, Special Region of Yogyakarta",Bantul,Desa Wisata Sambi Tourist attraction Bantul ,-7.6472459,110.426092
Tugu Kaliputih,4.4,79,Historical landmark,48XW+MWG,Bantul,Tugu Kaliputih Historical landmark Bantul ,-7.8508064,110.3473258
Pyramid,4.2,3789,Event venue,"Jl. Parangtritis No.KM.5,5",Bantul,Pyramid Event venue Bantul ,-7.8748176,110.3255365
Pecel srikeminut,4.8,18,Restaurant,"3C48+4RX, Jl. Jemb. Gantung",Bantul,Pecel srikeminut Restaurant Bantul ,-7.9446302,110.4171115
Pak Dhe Homestay,4.7,137,Hotel,"Bantul Regency, Special Region of Yogyakarta",Bantul,Pak Dhe Homestay Hotel Bantul ,-7.8783291,110.3572565
Lintas Negeri Tour,5,10,Travel agency,"Jl. Parangtritis KM 6, Ngijo RT 004",Bantul,Lintas Negeri Tour Travel agency Bantul ,-7.851733,110.3599001
SD Negeri Timbulharjo,4.4,18,Elementary school,Jl. Parangtritis,Bantul,SD Negeri Timbulharjo Elementary school Bantul ,-7.8693837,110.3519828
d'Omah Lotus Café,4.4,45,Restaurant,"49H3+CC4, Unnamed Road",Bantul,d'Omah Lotus Café Restaurant Bantul ,-7.8714869,110.3535753
