Nama,Rating,Ulasan,Jenis,Alamat,Kota,Full Address,Latitude,Longitude
Wukirsari Library,4.6,9,Public library,39RP+3QW,Bantul,Wukirsari Library Public library Bantul ,-7.9097563,110.38695
Depot Air Minum Isi Ulang TIRTA AMERTA,5,9,Water treatment plant,"48W6+CX9, Jl. Daniswara Jalan Bibis Raya",Bantul,Depot Air Minum Isi Ulang TIRTA AMERTA Water treatment plant Bantul ,-7.8539675,110.3124831
BPJS Kesehatan Cabang Yogyakarta,3.7,452,Social security office,"Yogyakarta City, Special Region of Yogyakarta",Bantul,BPJS Kesehatan Cabang Yogyakarta Social security office Bantul ,-7.8151233,110.4017147
Toyozuchi,,,Water treatment plant,"492M+PQ9, Jalan Imogiri Timur, Wukirsari, Imogiri",Bantul,Toyozuchi Water treatment plant Bantul ,-7.8982,110.384494
Koramil 0734/07 Umbulharjo,1,1,Army facility,"Yogyakarta City, Special Region of Yogyakarta",Bantul,Koramil 0734/07 Umbulharjo Army facility Bantul ,-7.8323187,110.391399
Airqu Water Refill Depot,5,3,Water treatment plant,"38V8+J9F, Jl. Srandakan",Bantul,Airqu Water Refill Depot Water treatment plant Bantul ,-7.9059356,110.3159364
Rafflesia Fresh,,,Water treatment plant,"Yogyakarta City, Special Region of Yogyakarta",Bantul,Rafflesia Fresh Water treatment plant Bantul ,-7.812177,110.381698
Azgya Air Minum,,,Water treatment plant,"Yogyakarta City, Special Region of Yogyakarta",Bantul,Azgya Air Minum Water treatment plant Bantul ,-7.811607,110.346744
Depot Air Isi Ulang Al-Kautsar,5,1,Water treatment plant,"38V6+9CG, Jl. Srandakan",Bantul,Depot Air Isi Ulang Al-Kautsar Water treatment plant Bantul ,-7.906559,110.311073
Koramil 0734/10 Wirobrajan,5,1,Army facility,"Yogyakarta City, Special Region of Yogyakarta",Bantul,Koramil 0734/10 Wirobrajan Army facility Bantul ,-7.810513,110.3477103
Dinas Pendidikan Kabupaten Sleman,4.2,77,City district office,"Sleman Regency, Special Region of Yogyakarta",Bantul,Dinas Pendidikan Kabupaten Sleman City district office Bantul ,-7.8748176,110.3255365
Tirta Jaya,,,Water treatment plant,"Yogyakarta City, Special Region of Yogyakarta",Bantul,Tirta Jaya Water treatment plant Bantul ,-7.8301862,110.4035399
